obs.ID,PLOT_CODE,SITEABBR,PLOT_ID,YEAR,BASE_REP,TARGET_HAB,light.mean,moist.mean,ph.mean,fert.mean,comp.mean,stress.mean,rud.mean,light.mean.wt,moist.mean.wt,ph.mean.wt,fert.mean.wt,comp.mean.wt,stress.mean.wt,rud.mean.wt
BBE17_2012,BBE_17,BBE,17,2012,base,Broadleaved woodland,4,5.5,8,4.5,3.5,3.5,0.5,4.777777778,6.666666667,8,4.111111111,0.777777778,0.777777778,0.111111111
BBE18_2012,BBE_18,BBE,18,2012,base,Broadleaved woodland,4.090909091,4.727272727,6,3,3.818181818,3,0.909090909,3.323943662,3.901408451,4.718309859,2.450704225,4.084507042,2.309859155,0.563380282
BBE19_2012,BBE_19,BBE,19,2012,base,Broadleaved woodland,4.666666667,5.666666667,8.166666667,5.666666667,6.333333333,6.166666667,2.166666667,4.475,5.475,7.925,5.8,5.675,6.375,2.325
BBE2_2012,BBE_2,BBE,2,2012,base,Broadleaved woodland,5,6,8,5,7,7,1,5,6,8,5,7,7,1
BBE20_2012,BBE_20,BBE,20,2012,base,Broadleaved woodland,2.5,3,4,2.5,3.5,3.5,0.5,4.375,5.25,7,4.375,6.125,6.125,0.875
BBE21_2012,BBE_21,BBE,21,2012,base,Broadleaved woodland,5,5.888888889,7.444444444,4.111111111,4.666666667,5,3.444444444,4.650793651,5.428571429,6.523809524,3.825396825,4.26984127,4.365079365,2.952380952
BBE22_2012,BBE_22,BBE,22,2012,base,Broadleaved woodland,5.692307692,6.769230769,7.230769231,3.230769231,4,5.846153846,1.076923077,5.184,6.144,6.8,2.496,4.088,5.608,0.816
BBE23_2012,BBE_23,BBE,23,2012,base,Broadleaved woodland,5.75,6.75,8.25,6.5,6.5,5.25,2.75,5.12,6.12,8.52,6.2,7.88,5.28,1.28
BBE25_2012,BBE_25,BBE,25,2012,base,Broadleaved woodland,4.6,5.6,8.2,6.2,7.4,6.4,1,4.115384615,5.115384615,8.115384615,6.153846154,7.230769231,6.653846154,1
BBE26_2012,BBE_26,BBE,26,2012,base,Broadleaved woodland,4.8,5.8,8.4,5.2,7,7,1,4.96,5.96,8.08,5.04,7,7,1
BBE27_2012,BBE_27,BBE,27,2012,base,Broadleaved woodland,5.5,6.5,8.5,5.5,7,7,1,5.928571429,6.928571429,8.928571429,5.928571429,7,7,1
BBE28_2012,BBE_28,BBE,28,2012,base,Broadleaved woodland,4.4,5.2,5.6,2.6,2,0.2,0.2,3.081632653,3.93877551,3.530612245,1.612244898,0.204081633,0.020408163,0.020408163
BBE29_2012,BBE_29,BBE,29,2012,base,Broadleaved woodland,4.428571429,5.285714286,6.142857143,3.142857143,3.428571429,2.142857143,0.428571429,5,5.90625,6.8125,3.1875,5.59375,1.9375,0.625
BBE3_2012,BBE_3,BBE,3,2012,base,Broadleaved woodland,5,6,8,5,7,7,1,5.933333333,6.933333333,8,5,7,7,1
